,Airline,Source,Destination,Additional_Info,Price,dur_min,stops,journey_day,dep_time
95,IndiGo,Chennai,Kolkata,No Info,3540.0,145.0,0,4,51500
96,SpiceJet,Banglore,Delhi,No check-in baggage included,3257.0,160.0,0,2,55500
97,Jet Airways,Banglore,Delhi,In-flight meal not included,6478.0,180.0,0,2,195000
98,Jet Airways,Mumbai,Hyderabad,No Info,8040.0,85.0,0,1,70500
99,Jet Airways,Delhi,Cochin,No Info,14300.0,995.0,2,4,200000
100,Jet Airways,Kolkata,Banglore,No Info,14781.0,740.0,1,2,82500
101,Jet Airways,Kolkata,Banglore,No Info,14939.0,735.0,1,4,200000
102,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,450.0,1,0,205500
103,Air India,Kolkata,Banglore,No Info,6528.0,315.0,1,3,143500
104,Air India,Banglore,Delhi,No Info,6121.0,165.0,0,5,61000
105,Jet Airways,Delhi,Cochin,In-flight meal not included,13029.0,535.0,2,5,193000
106,Multiple carriers,Delhi,Cochin,No Info,11421.0,430.0,1,2,114000
107,Multiple carriers,Delhi,Cochin,No Info,7574.0,870.0,1,2,44500
108,Air India,Delhi,Cochin,No Info,11596.0,1820.0,2,3,125500
109,Jet Airways,Delhi,Cochin,No Info,15129.0,1195.0,2,4,230500
110,Jet Airways,Banglore,New Delhi,No Info,13555.0,900.0,1,0,140500
111,IndiGo,Banglore,Delhi,No Info,5780.0,175.0,0,2,185500
112,Vistara,Kolkata,Banglore,No Info,9397.0,765.0,1,3,202000
113,Jet Airways,Delhi,Cochin,No Info,14151.0,610.0,1,0,181500
114,GoAir,Delhi,Cochin,No Info,5281.0,355.0,1,3,70000
115,Multiple carriers,Delhi,Cochin,No Info,10348.0,925.0,1,5,70500
116,Air India,Delhi,Cochin,No Info,12677.0,965.0,1,0,172000
117,Multiple carriers,Delhi,Cochin,No Info,15147.0,610.0,1,6,152500
118,Vistara,Banglore,Delhi,No Info,4668.0,160.0,0,4,70000
119,Jet Airways,Delhi,Cochin,No Info,15554.0,715.0,1,3,70500
120,SpiceJet,Banglore,Delhi,No Info,3971.0,160.0,0,2,55500
121,Air India,Mumbai,Hyderabad,No Info,3100.0,85.0,0,1,150000
122,Jet Airways,Kolkata,Banglore,In-flight meal not included,9663.0,845.0,1,2,200000
123,Air India,Delhi,Cochin,No Info,12219.0,1215.0,1,3,230000
124,IndiGo,Chennai,Kolkata,No Info,3540.0,145.0,0,3,51500
125,Air India,Kolkata,Banglore,No Info,10676.0,1390.0,2,1,120000
126,Jet Airways,Kolkata,Banglore,No Info,13044.0,1090.0,1,4,140500
127,Jet Airways,Kolkata,Banglore,No Info,14388.0,960.0,1,2,200000
128,IndiGo,Banglore,Delhi,No Info,3943.0,170.0,0,0,40000
129,IndiGo,Chennai,Kolkata,No Info,3597.0,140.0,0,2,144500
130,Air India,Banglore,New Delhi,No Info,5932.0,480.0,1,3,115000
131,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,1015.0,1,5,113000
132,Vistara,Delhi,Cochin,No Info,6216.0,190.0,0,3,144000
133,IndiGo,Kolkata,Banglore,No Info,4804.0,155.0,0,5,202500
134,Multiple carriers,Delhi,Cochin,No Info,14067.0,840.0,1,1,113000
135,Jet Airways,Delhi,Cochin,No Info,15129.0,1430.0,2,5,191000
136,Jet Airways,Delhi,Cochin,No Info,13376.0,1300.0,2,3,64500
137,Air India,Delhi,Cochin,No Info,10441.0,1275.0,2,3,220000
138,Jet Airways,Banglore,Delhi,In-flight meal not included,4030.0,165.0,0,4,60000
139,Jet Airways,Delhi,Cochin,No Info,14151.0,650.0,1,6,80000
140,Multiple carriers,Delhi,Cochin,No Info,13017.0,480.0,1,2,173000
141,GoAir,Kolkata,Banglore,No Info,6686.0,495.0,1,3,233000
142,IndiGo,Delhi,Cochin,No Info,5636.0,325.0,1,5,20000
143,IndiGo,Delhi,Cochin,No Info,6442.0,515.0,1,4,73500
144,Multiple carriers,Delhi,Cochin,No Info,9486.0,710.0,1,1,130500
145,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,1655.0,1,1,200000
146,Jet Airways,Delhi,Cochin,In-flight meal not included,15318.0,505.0,2,2,200000
147,Air India,Delhi,Cochin,No Info,5117.0,1255.0,1,0,123000
148,IndiGo,Delhi,Cochin,No Info,6147.0,290.0,1,0,151000
149,Multiple carriers,Delhi,Cochin,No Info,7005.0,490.0,1,4,125000
150,SpiceJet,Kolkata,Banglore,No Info,3873.0,150.0,0,0,222000
151,Jet Airways,Delhi,Cochin,In-flight meal not included,9270.0,1465.0,2,3,182500
152,GoAir,Banglore,Delhi,No Info,3898.0,170.0,0,3,114000
153,Jet Airways,Kolkata,Banglore,No Info,14781.0,740.0,1,3,82500
154,Jet Airways,Kolkata,Banglore,In-flight meal not included,8586.0,735.0,1,4,200000
155,Air India,Kolkata,Banglore,No Info,10697.0,1415.0,2,3,82000
156,Jet Airways,Delhi,Cochin,No Info,14300.0,995.0,2,3,200000
157,IndiGo,Banglore,New Delhi,No Info,6494.0,170.0,0,6,185500
158,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,1545.0,1,3,163000
159,Jet Airways,Delhi,Cochin,No Info,14151.0,870.0,1,0,21500
160,Jet Airways,Kolkata,Banglore,In-flight meal not included,9314.0,1730.0,1,5,93500
161,IndiGo,Banglore,New Delhi,No Info,4777.0,165.0,0,6,4000
162,Air India,Kolkata,Banglore,No Info,7662.0,270.0,1,4,120000
163,IndiGo,Delhi,Cochin,No Info,6442.0,560.0,1,3,65000
164,SpiceJet,Delhi,Cochin,No Info,5264.0,270.0,1,4,84500
165,Jet Airways,Delhi,Cochin,In-flight meal not included,12898.0,925.0,1,0,130000
166,Air India,Mumbai,Hyderabad,No Info,6092.0,90.0,0,6,135500
167,SpiceJet,Banglore,Delhi,No Info,3311.0,160.0,0,1,55500
168,Jet Airways,Delhi,Cochin,In-flight meal not included,6540.0,550.0,1,2,191500
169,IndiGo,Banglore,Delhi,No Info,3419.0,165.0,0,0,13000
170,Jet Airways,Delhi,Cochin,In-flight meal not included,5177.0,1355.0,1,0,140000
171,Air India,Delhi,Cochin,No Info,8246.0,185.0,0,3,180500
172,Jet Airways,Kolkata,Banglore,No Info,14676.0,690.0,1,4,93500
173,Multiple carriers,Delhi,Cochin,No Info,13587.0,570.0,1,3,113000
174,Jet Airways,Kolkata,Banglore,In-flight meal not included,9663.0,730.0,1,2,211000
175,Jet Airways,Kolkata,Banglore,No Info,13044.0,1055.0,1,4,163000
176,IndiGo,Delhi,Cochin,No Info,5073.0,305.0,1,0,202500
177,Vistara,Kolkata,Banglore,No Info,9345.0,1550.0,1,1,170000
178,Jet Airways,Kolkata,Banglore,In-flight meal not included,9663.0,1200.0,1,2,140500
179,Multiple carriers,Delhi,Cochin,No Info,14277.0,780.0,1,1,80000
180,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,1105.0,1,6,100000
181,Jet Airways,Mumbai,Hyderabad,No Info,5678.0,90.0,0,2,193500
182,Multiple carriers,Delhi,Cochin,No Info,13727.0,570.0,1,2,160000
183,Jet Airways,Kolkata,Banglore,In-flight meal not included,9663.0,960.0,1,2,200000
184,IndiGo,Chennai,Kolkata,No Info,3858.0,140.0,0,3,144500
185,SpiceJet,Delhi,Cochin,No Info,4812.0,270.0,1,0,84500
186,IndiGo,Delhi,Cochin,No Info,5775.0,345.0,1,3,215000
187,Jet Airways,Kolkata,Banglore,In-flight meal not included,10539.0,1450.0,1,3,93500
188,IndiGo,Kolkata,Banglore,No Info,4804.0,155.0,0,2,153000
189,Air Asia,Banglore,Delhi,No Info,3383.0,165.0,0,4,111000
190,IndiGo,Banglore,New Delhi,No Info,6494.0,295.0,1,6,121000
191,Air India,Delhi,Cochin,No Info,7165.0,1535.0,1,2,51500
192,IndiGo,Delhi,Cochin,No Info,6412.0,380.0,1,0,161000
193,Jet Airways,Banglore,Delhi,No Info,8016.0,185.0,0,3,185500
194,Jet Airways,Banglore,New Delhi,In-flight meal not included,11087.0,1120.0,1,1,203500
195,SpiceJet,Chennai,Kolkata,No check-in baggage included,3543.0,135.0,0,3,94500
196,Jet Airways,Kolkata,Banglore,No Info,12471.0,730.0,1,4,163000
197,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,1165.0,1,0,90000
198,Air India,Banglore,New Delhi,No Info,4441.0,170.0,0,0,132000
199,Multiple carriers,Delhi,Cochin,No Info,12537.0,505.0,1,2,70500
200,GoAir,Kolkata,Banglore,No Info,6811.25,555.0,1,6,222500
201,Air India,Banglore,Delhi,No Info,6961.0,170.0,0,2,210500
202,IndiGo,Delhi,Cochin,No Info,5013.0,195.0,0,2,53500
203,Air India,Delhi,Cochin,No Info,6934.0,170.0,0,5,51000
204,Multiple carriers,Delhi,Cochin,No Info,10877.0,740.0,1,2,64000
205,Jet Airways,Banglore,Delhi,No Info,7229.0,175.0,0,3,151500
206,IndiGo,Delhi,Cochin,No Info,7048.0,575.0,1,2,160000
207,Vistara,Banglore,Delhi,No Info,4878.0,155.0,0,3,170000
208,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,570.0,1,1,140500
209,Jet Airways,Delhi,Cochin,No Info,15129.0,1760.0,2,5,230500
210,IndiGo,Banglore,Delhi,No Info,3943.0,175.0,0,3,3000
211,SpiceJet,Delhi,Cochin,No Info,4760.0,315.0,1,3,60500
212,Multiple carriers,Delhi,Cochin,No Info,9646.0,545.0,1,3,70500
213,Multiple carriers,Delhi,Cochin,No Info,7677.0,645.0,1,2,83000
214,IndiGo,Delhi,Cochin,No Info,6842.0,295.0,1,6,51000
215,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,4995.0,90.0,0,0,84500
216,Vistara,Kolkata,Banglore,No Info,9555.0,700.0,1,4,71000
217,IndiGo,Banglore,Delhi,No Info,4077.0,165.0,0,6,13000
218,Jet Airways,Banglore,Delhi,No Info,7229.0,175.0,0,3,151500
219,Multiple carriers,Delhi,Cochin,No Info,12192.0,600.0,1,4,90000
220,Air India,Banglore,Delhi,No Info,5911.0,165.0,0,2,100000
221,Air India,Delhi,Cochin,No Info,8372.0,615.0,1,4,90000
222,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,4995.0,85.0,0,0,71000
223,Multiple carriers,Delhi,Cochin,No Info,14323.0,555.0,1,3,100000
224,Jet Airways,Delhi,Cochin,No Info,13014.0,1375.0,2,4,53000
225,Air India,Delhi,Cochin,No Info,13591.0,1730.0,2,3,142500
226,Jet Airways,Delhi,Cochin,No Info,14151.0,2245.0,2,6,52500
227,IndiGo,Banglore,Delhi,No Info,3943.0,170.0,0,5,233000
228,SpiceJet,Mumbai,Hyderabad,No check-in baggage included,1965.0,90.0,0,1,54500
229,Jet Airways,Mumbai,Hyderabad,In-flight meal not included,4995.0,90.0,0,0,102000
230,Air India,Kolkata,Banglore,No Info,14641.0,1540.0,1,6,165000
231,Air India,Kolkata,Banglore,No Info,4460.0,155.0,0,2,204500
232,Air India,Delhi,Cochin,No Info,10191.0,375.0,1,5,130000
233,Jet Airways,Delhi,Cochin,In-flight meal not included,13843.0,1050.0,1,1,21500
234,IndiGo,Delhi,Cochin,No Info,6349.0,345.0,1,5,215000
235,Air Asia,Kolkata,Banglore,No Info,4409.0,155.0,0,5,102000
236,Jet Airways,Delhi,Cochin,No Info,14151.0,870.0,1,0,181500
237,Multiple carriers,Delhi,Cochin,No Info,13727.0,835.0,1,5,70500
238,IndiGo,Banglore,New Delhi,No Info,6494.0,175.0,0,4,182500
239,Multiple carriers,Delhi,Cochin,No Info,12524.0,615.0,1,0,84500
240,Jet Airways,Banglore,New Delhi,No Info,13555.0,520.0,1,0,114000
241,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,330.0,1,3,63000
242,Multiple carriers,Delhi,Cochin,No Info,13587.0,720.0,1,4,90000
243,SpiceJet,Chennai,Kolkata,No check-in baggage included,3543.0,135.0,0,4,94500
244,Vistara,Chennai,Kolkata,No Info,4842.0,135.0,0,0,70500
245,IndiGo,Banglore,Delhi,No Info,3943.0,170.0,0,2,233000
246,Jet Airways,Delhi,Cochin,In-flight meal not included,10577.0,550.0,1,4,191500
247,IndiGo,Delhi,Cochin,No Info,6979.0,625.0,1,2,103500
248,Vistara,Chennai,Kolkata,No Info,9345.0,140.0,0,3,174500
249,SpiceJet,Delhi,Cochin,No Info,5264.0,270.0,1,3,84500
250,Vistara,Delhi,Cochin,No Info,8001.0,190.0,0,6,60000
251,Air India,Delhi,Cochin,No Info,10651.0,1410.0,2,6,194500
252,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,1640.0,1,4,163000
253,Multiple carriers,Delhi,Cochin,No Info,6601.0,755.0,1,2,94500
254,Air India,Delhi,Cochin,No Info,6587.0,870.0,1,3,190000
255,SpiceJet,Mumbai,Hyderabad,No Info,3173.0,80.0,0,3,131000
256,Air India,Banglore,Delhi,No Info,5228.0,165.0,0,3,100000
257,Jet Airways,Banglore,Delhi,In-flight meal not included,5769.0,180.0,0,4,71000
258,Jet Airways,Delhi,Cochin,No Info,14714.0,660.0,1,3,80000
259,Jet Airways,Delhi,Cochin,No Info,13014.0,810.0,2,2,53000
260,IndiGo,Banglore,Delhi,No Info,3359.0,170.0,0,2,221000
261,GoAir,Banglore,New Delhi,No Info,6722.0,175.0,0,6,205500
262,IndiGo,Kolkata,Banglore,No Info,4462.0,155.0,0,0,93500
263,IndiGo,Delhi,Cochin,No Info,6171.0,675.0,1,1,45500
264,Air India,Kolkata,Banglore,No Info,12303.0,875.0,2,1,55000
265,Multiple carriers,Delhi,Cochin,No Info,7695.0,835.0,1,3,114000
266,IndiGo,Delhi,Cochin,No Info,5684.0,845.0,1,0,112500
267,Air India,Kolkata,Banglore,No Info,8366.0,905.0,1,4,165000
268,Air India,Chennai,Kolkata,No Info,12219.0,135.0,0,3,114000
269,Jet Airways,Banglore,New Delhi,In-flight meal not included,13502.0,900.0,1,0,140500
270,Jet Airways,Kolkata,Banglore,No Info,14781.0,775.0,1,5,211000
271,Multiple carriers,Delhi,Cochin,No Info,6513.0,540.0,1,4,71000
272,Air India,Delhi,Cochin,No Info,9929.0,735.0,1,6,70000
273,Multiple carriers,Delhi,Cochin,No Info,13587.0,460.0,2,3,175000
274,Air India,Delhi,Cochin,No Info,4487.0,1640.0,1,2,60500
275,IndiGo,Mumbai,Hyderabad,No Info,2754.0,85.0,0,4,212000
276,Air India,Mumbai,Hyderabad,No Info,2575.0,80.0,0,2,62000
277,SpiceJet,Kolkata,Banglore,No Info,4760.0,330.0,1,4,155500
278,Air India,Delhi,Cochin,No Info,8991.0,705.0,1,1,203000
279,IndiGo,Delhi,Cochin,No Info,5000.0,195.0,0,0,53500
280,Jet Airways,Kolkata,Banglore,In-flight meal not included,8529.0,1495.0,1,4,185500
281,Air India,Delhi,Cochin,No Info,14042.0,1640.0,1,6,60500
282,Jet Airways,Banglore,Delhi,In-flight meal not included,4030.0,175.0,0,4,111000
283,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,1025.0,1,3,185500
284,IndiGo,Kolkata,Banglore,No Info,4804.0,160.0,0,2,212500
285,Multiple carriers,Delhi,Cochin,In-flight meal not included,7308.0,480.0,1,0,173000
286,IndiGo,Banglore,Delhi,No Info,4823.0,180.0,0,3,165500
287,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,870.0,1,0,90000
288,Jet Airways,Delhi,Cochin,In-flight meal not included,12898.0,450.0,1,0,205500
289,Air India,Banglore,New Delhi,No Info,12778.0,1375.0,2,1,172500
290,IndiGo,Delhi,Cochin,No Info,6494.0,515.0,1,6,44500
291,Air India,Delhi,Cochin,No Info,8708.0,1795.0,2,3,132000
292,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,1335.0,1,3,200000
293,SpiceJet,Mumbai,Hyderabad,No Info,4129.0,80.0,0,0,54500
294,IndiGo,Kolkata,Banglore,No Info,4804.0,160.0,0,5,212500
295,Jet Airways,Banglore,Delhi,No Info,7229.0,180.0,0,2,82000
296,Jet Airways,Banglore,New Delhi,In-flight meal not included,7832.0,730.0,1,3,70000
297,SpiceJet,Chennai,Kolkata,No Info,3859.0,140.0,0,0,93000
298,Multiple carriers,Delhi,Cochin,No Info,9001.0,705.0,1,3,73000
299,Vistara,Banglore,Delhi,No Info,4878.0,155.0,0,3,170000
300,IndiGo,Mumbai,Hyderabad,No Info,2754.0,90.0,0,1,23500
301,Vistara,Banglore,Delhi,No Info,4668.0,160.0,0,3,70000
302,Air Asia,Kolkata,Banglore,No Info,5216.0,155.0,0,3,102000
303,Jet Airways,Delhi,Cochin,In-flight meal not included,10368.0,1375.0,2,3,53000
304,IndiGo,Delhi,Cochin,No Info,6494.0,880.0,2,1,64000
305,Jet Airways,Delhi,Cochin,No Info,12242.0,925.0,1,2,130000
306,Jet Airways,Banglore,New Delhi,In-flight meal not included,9134.0,435.0,1,4,80000
307,Air India,Delhi,Cochin,No Info,10939.0,1210.0,2,3,131500
308,Air India,Delhi,Cochin,No Info,11753.0,1245.0,2,3,105500
309,SpiceJet,Kolkata,Banglore,No Info,4174.0,150.0,0,2,171000
310,Jet Airways,Kolkata,Banglore,In-flight meal not included,10844.0,1430.0,1,1,200000
311,Jet Airways,Delhi,Cochin,No Info,14714.0,870.0,1,2,160000
312,Jet Airways,Kolkata,Banglore,In-flight meal not included,9899.0,330.0,1,4,63000
313,IndiGo,Delhi,Cochin,No Info,6494.0,710.0,1,6,91000
314,IndiGo,Chennai,Kolkata,No Info,7295.0,135.0,0,0,132000
315,Air India,Delhi,Cochin,No Info,13465.0,1470.0,2,3,184500
316,SpiceJet,Chennai,Kolkata,No check-in baggage included,3543.0,140.0,0,1,174500
317,Multiple carriers,Delhi,Cochin,No Info,7198.0,390.0,1,3,190000
318,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,1225.0,1,6,80000
319,IndiGo,Kolkata,Banglore,No Info,4148.0,155.0,0,4,152000
320,Jet Airways,Banglore,Delhi,No Info,8016.0,175.0,0,3,151500
321,Jet Airways,Delhi,Cochin,In-flight meal not included,10262.0,335.0,1,4,225000
322,SpiceJet,Kolkata,Banglore,No check-in baggage included,3841.0,150.0,0,5,145500
323,Jet Airways,Banglore,New Delhi,No Info,11507.0,885.0,1,1,94500
324,Jet Airways,Kolkata,Banglore,No Info,14781.0,740.0,1,5,82500
325,Jet Airways,Delhi,Cochin,No Info,16079.0,870.0,1,0,173000
326,Jet Airways,Delhi,Cochin,In-flight meal not included,12898.0,335.0,1,0,225000
327,Multiple carriers,Delhi,Cochin,No Info,15353.0,705.0,1,0,73000
328,IndiGo,Banglore,New Delhi,No Info,7303.0,175.0,0,6,182500
329,SpiceJet,Kolkata,Banglore,No Info,4760.0,340.0,1,6,150500
330,Air India,Kolkata,Banglore,No Info,8996.0,245.0,1,4,91000
331,IndiGo,Delhi,Cochin,No Info,6528.0,480.0,1,3,142000
332,GoAir,Banglore,Delhi,No Info,4239.0,165.0,0,2,205500
333,IndiGo,Kolkata,Banglore,No Info,4148.0,160.0,0,1,202500
334,SpiceJet,Banglore,Delhi,No Info,3971.0,175.0,0,4,211000
335,Air Asia,Kolkata,Banglore,No Info,5192.0,955.0,1,2,73500
336,Jet Airways,Delhi,Cochin,No Info,9483.0,1390.0,2,2,132500
337,Jet Airways,Delhi,Cochin,No Info,14151.0,440.0,2,2,114000
338,Air India,Delhi,Cochin,No Info,5201.0,170.0,0,1,51000
339,Jet Airways,Delhi,Cochin,No Info,16079.0,450.0,1,0,113000
340,Jet Airways,Banglore,Delhi,In-flight meal not included,7229.0,180.0,0,5,195000
341,Multiple carriers,Delhi,Cochin,No Info,6795.0,465.0,1,0,174500
342,Jet Airways,Kolkata,Banglore,No Info,10953.0,1520.0,1,3,93500
343,Multiple carriers,Delhi,Cochin,No Info,15965.0,625.0,2,0,150500
344,Air India,Delhi,Cochin,No Info,9968.0,1820.0,2,2,125500
345,IndiGo,Kolkata,Banglore,No Info,4804.0,155.0,0,3,221500
346,Jet Airways,Delhi,Cochin,No Info,16079.0,540.0,1,0,100000
